,0,1,2,3,4,5,6
0,55.0,Васильев Егор Тимофеевич,24-01-1981,Баранова Дарья Владимировна,19-11-1989,19-07-2021,1
1,82.0,Казанцев Марк Назарович,19-12-1996,Колесникова Злата Никитична,01-12-1987,27-12-2020,2
2,35.0,Соловьев Илья Денисович,13-08-1989,Морозова Дарина Артёмовна,30-12-1997,13-06-2020,7
3,47.0,Иванов Владимир Владиславович,10-02-1994,Емельянова Арина Артёмовна,24-03-1992,23-09-2021,8
4,87.0,Молчанов Иван Максимович,19-04-1988,Вавилова Маргарита Никитична,20-11-1983,23-09-2019,8
5,12.0,Винокуров Степан Николаевич,17-09-1989,Латышева Злата Михайловна,14-11-1995,30-01-2018,9
6,96.0,Воробьев Савва Павлович,19-02-1983,Иванова Алиса Тихоновна,31-05-1989,19-03-2020,9
7,63.0,Елисеев Денис Никитич,14-02-1980,Семенова Анна Кирилловна,03-06-1991,25-07-2018,9
8,57.0,Романов Вячеслав Савельевич,23-12-1982,Крылова Елизавета Владиславовна,02-02-1996,16-10-2023,9
9,30.0,Смирнов Лев Михайлович,08-06-1986,Мартынова Полина Ивановна,29-03-1986,11-05-2019,10
10,56.0,Фомин Лев Александрович,19-09-1992,Латышева Злата Михайловна,21-09-1984,30-10-2018,11
11,16.0,Иванов Владимир Владиславович,22-09-1999,Седова София Игоревна,18-04-1987,21-11-2022,13
12,18.0,Аникин Фёдор Степанович,15-06-1990,Михайлова София Алексеевна,05-01-1985,24-07-2018,15
13,31.0,Булгаков Иван Владимирович,24-10-1997,Васильева Полина Михайловна,31-05-1993,09-02-2018,15
14,15.0,Герасимов Давид Петрович,01-08-1982,Петухова Алиса Алексеевна,16-11-1999,18-09-2018,15
15,53.0,Смирнов Матвей Максимович,04-05-1994,Иванова Дарья Сергеевна,27-01-1980,02-12-2018,18
16,99.0,Винокуров Степан Николаевич,25-03-1993,Михеева Аделина Елисеевна,24-09-1983,11-03-2020,20
17,0.0,Васильев Давид Тимофеевич,22-04-1988,Ильина Вероника Олеговна,27-08-1984,07-01-2022,21
18,11.0,Горшков Егор Артёмович,23-03-1989,Семенова Анна Кирилловна,12-03-1992,29-01-2021,21
19,93.0,Гусев Богдан Александрович,02-02-1991,Козлова Ясмина Михайловна,16-09-1987,30-06-2023,23
20,75.0,Васильев Давид Тимофеевич,04-07-1983,Латышева Злата Михайловна,02-12-1995,21-07-2021,24
21,45.0,Казаков Марк Михайлович,03-03-1995,Назарова Ульяна Арсеновна,22-11-1992,11-04-2018,25
22,13.0,Воробьев Савва Павлович,04-01-1983,Колесникова Злата Никитична,14-05-1997,09-09-2023,28
23,7.0,Белоусов Фёдор Даниилович,15-10-1985,Седова София Игоревна,17-05-1995,17-10-2021,29
24,70.0,Ефремов Дмитрий Всеволодович,07-06-1991,Старостина Ульяна Даниэльевна,22-03-1990,27-10-2023,29
25,4.0,Смирнов Дмитрий Григорьевич,10-08-1994,Дроздова Марина Михайловна,26-08-1983,11-03-2022,29
26,89.0,Степанов Андрей Григорьевич,06-08-1984,Попова Вера Ивановна,07-08-1981,22-03-2022,29
27,42.0,Макаров Тимур Артёмович,20-03-1985,Колесникова Злата Никитична,30-11-1991,16-03-2019,32
28,69.0,Михайлов Артём Андреевич,02-01-1994,Зайцева Вероника Саввична,10-12-1990,03-09-2023,33
29,94.0,Филатов Лука Андреевич,21-03-1995,Лебедева Мария Егоровна,04-11-1987,09-10-2019,35
30,5.0,Казанцев Марк Назарович,22-11-1993,Кузьмина Айлин Степановна,08-04-1989,13-03-2018,37
31,81.0,Дегтярев Илья Тимофеевич,30-10-1988,Комарова Мария Михайловна,25-10-1981,09-08-2020,38
32,2.0,Васильев Егор Тимофеевич,12-02-1990,Дементьева Екатерина Лукинична,29-12-1992,04-10-2021,39
33,46.0,Михайлов Артём Андреевич,10-11-1993,Назарова Вероника Платоновна,20-01-1987,02-03-2020,41
34,51.0,Шестаков Константин Степанович,12-03-1990,Крылова Елизавета Владиславовна,18-08-1992,13-04-2023,41
35,78.0,Колесов Адам Петрович,15-01-1997,Самсонова Виктория Степановна,25-10-1996,06-09-2023,44
36,84.0,Горбачев Александр Тихонович,28-08-1997,Павлова Александра Ярославовна,05-03-1982,03-07-2021,45
37,68.0,Гусев Богдан Александрович,07-02-1993,Петухова Алиса Алексеевна,20-09-1992,28-03-2021,45
38,39.0,Ефремов Дмитрий Всеволодович,16-06-1989,Пирогова Агата Ивановна,14-04-1980,20-11-2019,47
39,25.0,Новиков Виктор Маркович,22-06-1982,Добрынина Милана Данииловна,07-04-1994,20-10-2018,47
40,17.0,Иванов Михаил Сергеевич,09-01-1984,Тихомирова Ксения Львовна,08-09-1991,09-03-2020,50
41,40.0,Горбачев Александр Тихонович,21-08-1988,Николаева Алиса Григорьевна,29-04-1982,22-05-2019,53
42,34.0,Казаков Марк Михайлович,23-03-1994,Дроздова Марина Михайловна,12-05-1996,23-09-2019,53
43,65.0,Суворов Матвей Богданович,11-07-1987,Ершова София Максимовна,23-05-1997,12-10-2019,53
44,59.0,Медведев Артём Ярославович,10-06-1998,Куликова Дарья Георгиевна,10-03-1992,22-07-2022,54
45,14.0,Сергеев Андрей Иванович,31-03-1984,Борисова Вероника Савельевна,28-05-1993,16-07-2021,54
46,58.0,Макаров Давид Артурович,08-06-1981,Зайцева Виктория Никитична,10-01-1980,16-08-2023,55
47,44.0,Белов Евгений Артёмович,14-12-1993,Петровская Амира Тимофеевна,18-11-1989,08-06-2020,56
48,49.0,Осипов Дмитрий Платонович,11-01-1994,Вишневская Алисия Андреевна,08-06-1985,28-03-2018,56
49,26.0,Булгаков Иван Владимирович,20-05-1982,Зайцева Виктория Никитична,16-09-1986,25-02-2021,57
50,85.0,Кононов Виктор Максимович,29-11-1988,Андреева Варвара Арсентьевна,02-08-1996,03-02-2019,58
51,90.0,Степанов Андрей Григорьевич,30-05-1990,Васильева Полина Михайловна,07-12-1989,15-04-2018,60
52,60.0,Казаков Марк Михайлович,16-12-1984,Медведева София Ильинична,17-09-1994,03-06-2022,61
53,67.0,Родионов Михаил Дмитриевич,12-01-1983,Лукина Арина Кирилловна,12-02-1992,13-04-2021,61
54,98.0,Ильин Матвей Максимович,28-05-1997,Кононова Алина Георгиевна,09-07-1994,26-09-2022,63
55,77.0,Смирнов Дамир Даниилович,01-04-1984,Иванова Анна Григорьевна,13-11-1984,15-08-2018,63
56,54.0,Царев Мартин Андреевич,27-05-1985,Васильева Анна Сергеевна,11-06-1987,09-07-2018,64
57,95.0,Давыдов Иван Матвеевич,27-07-1992,Павлова Агата Савельевна,19-10-1994,04-11-2020,65
58,41.0,Хромов Кирилл Александрович,20-10-1983,Бабушкина Амина Давидовна,11-04-1984,17-04-2020,65
59,92.0,Васильев Павел Артёмович,08-01-1987,Лебедева Мария Егоровна,13-07-1980,05-08-2018,66
60,61.0,Яковлев Даниил Георгиевич,22-07-1999,Вавилова Маргарита Никитична,02-03-1984,16-04-2021,66
61,80.0,Булгаков Иван Владимирович,07-03-1988,Колесникова Злата Никитична,12-07-1985,30-09-2020,71
62,36.0,Степанов Андрей Григорьевич,30-07-1982,Григорьева Ксения Данииловна,09-08-1988,30-05-2020,73
63,43.0,Хромов Кирилл Александрович,16-12-1995,Иванова Алиса Тихоновна,27-04-1995,14-05-2018,73
64,88.0,Буров Дмитрий Лукич ,13-10-1995,Колесникова Злата Никитична,03-04-1999,16-07-2021,77
65,8.0,Кононов Виктор Максимович,12-08-1984,Иванова Дарья Сергеевна,10-02-1999,26-11-2021,77
66,27.0,Егоров Максим Даниилович,21-09-1988,Алексеева Арина Матвеевна,02-10-1983,27-12-2021,79
67,72.0,Верещагин Даниил Демидович,12-12-1980,Григорьева Алиса Марковна,01-08-1990,31-07-2021,80
68,79.0,Титов Артур Артёмович,02-09-1991,Савельева София Мироновна,08-03-1989,31-03-2023,80
69,86.0,Васильев Павел Артёмович,21-12-1982,Григорьева Алиса Марковна,23-03-1980,09-07-2018,81
70,24.0,Иванов Владимир Владиславович,30-04-1997,Куликова Мелания Платоновна,21-11-1992,16-04-2022,81
71,23.0,Корнилов Олег Вадимович,07-02-1983,Ершова София Максимовна,11-07-1995,01-07-2022,81
72,6.0,Васильев Давид Тимофеевич,25-10-1980,Головина Анисия Михайловна,01-04-1982,29-10-2018,82
73,3.0,Горшков Егор Артёмович,02-11-1980,Петрова Аделина Данииловна,26-11-1991,04-11-2022,82
74,73.0,Корнилов Олег Вадимович,05-07-1986,Петровская Амира Тимофеевна,12-06-1989,14-06-2019,82
75,20.0,Горбачев Александр Тихонович,10-07-1989,Трофимова Ангелина Матвеевна,24-10-1981,28-08-2019,83
76,22.0,Осипов Дмитрий Платонович,06-07-1982,Петухова Алиса Алексеевна,28-04-1981,30-01-2022,83
77,52.0,Дегтярев Илья Тимофеевич,16-12-1984,Алексеева Арина Матвеевна,18-04-1995,09-02-2019,84
78,33.0,Смирнов Дамир Даниилович,05-12-1980,Смирнова Варвара Борисовна,24-04-1986,19-01-2023,84
79,83.0,Петров Матвей Юрьевич,29-07-1985,Васильева Полина Михайловна,27-09-1990,09-10-2022,85
80,38.0,Осипов Максим Максимович,16-04-1995,Кудряшова Полина Алиевна,15-06-1990,24-05-2021,87
81,1.0,Васильев Егор Тимофеевич,07-03-1988,Трофимова Ангелина Матвеевна,18-01-1999,22-11-2022,90
82,10.0,Герасимов Давид Петрович,06-07-1997,Кудряшова Полина Алиевна,21-07-1991,16-04-2020,90
83,91.0,Мельников Арсений Данилович,24-01-1989,Назарова Вероника Платоновна,11-04-1992,21-05-2021,90
84,48.0,Федоров Вячеслав Юрьевич,19-12-1986,Морозова Ева Данииловна,06-06-1985,06-02-2020,90
85,66.0,Яковлев Даниил Георгиевич,17-03-1990,Бабушкина Амина Давидовна,04-12-1989,07-04-2019,91
86,97.0,Макаров Тимур Артёмович,24-03-1987,Кудряшова Полина Алиевна,13-09-1991,04-05-2023,92
