,Groom fullname,Groom birth date,Bride fullname,Bride birth date,Wedding date,Registry office number
0,Корчагин Даниил Борисович,10-05-1988,Савельева София Мироновна,11-03-1987,14-04-2020,4695
1,Смирнов Дамир Даниилович,25-05-1982,Кузина Полина Ильинична,15-04-1984,19-01-2022,1827
2,Белоусов Фёдор Даниилович,26-04-1992,Панина Таисия Денисовна,12-04-1980,10-12-2018,1632
3,Соловьев Илья Денисович,04-06-1994,Григорьева Ксения Данииловна,01-10-1997,13-06-2018,4011
4,Гусев Станислав Викторович,01-12-1994,Смирнова Ясмина Ивановна,04-03-1992,13-08-2019,728
5,Романов Вячеслав Савельевич,10-01-1984,Павлова Александра Ярославовна,26-02-1993,28-12-2019,1367
6,Дегтярев Илья Тимофеевич,06-01-1997,Николаева Алиса Григорьевна,11-01-1997,30-07-2023,2620
7,Беляков Матвей Егорович,28-08-1994,Смирнова Дарья Леонидовна,13-07-1995,29-10-2019,1209
8,Белоусов Фёдор Даниилович,23-12-1999,Медведева София Ильинична,08-03-1987,23-01-2023,3443
9,Суворов Матвей Богданович,01-12-1997,Николаева Алиса Григорьевна,03-02-1985,12-02-2023,1231
10,Дмитриев Тимофей Михайлович,28-02-1984,Григорьева Ксения Данииловна,26-06-1987,05-04-2019,3332
11,Марков Максим Александрович,16-04-1984,Смирнова Дарья Леонидовна,28-08-1987,10-08-2021,2488
12,Кононов Виктор Максимович,28-09-1982,Кузьмина Айлин Степановна,16-10-1994,03-10-2022,1547
13,Воронин Савелий Иванович,29-09-1982,Макарова София Тимофеевна,22-03-1996,06-03-2023,2903
14,Иванов Михаил Сергеевич,14-08-1995,Пирогова Агата Ивановна,22-10-1999,26-12-2023,238
15,Калачев Всеволод Леонидович,07-12-1994,Козлова Ясмина Михайловна,01-04-1987,10-12-2019,1369
16,Фомин Лев Александрович,09-02-1987,Павлова Агата Савельевна,30-11-1996,21-06-2021,1694
17,Миронов Фёдор Григорьевич,16-08-1980,Суворова Стефания Артёмовна,02-06-1993,07-11-2020,3801
18,Родионов Михаил Дмитриевич,30-10-1988,Макарова София Тимофеевна,16-07-1985,11-07-2018,2974
19,Пименов Демид Валерьевич,11-02-1980,Лукина Арина Кирилловна,21-07-1993,14-07-2021,2115
20,Васильев Павел Артёмович,25-04-1990,Головина Анисия Михайловна,22-07-1987,14-10-2022,1210
21,Осипов Дмитрий Платонович,02-08-1987,Добрынина Милана Данииловна,10-03-1993,10-06-2019,2241
22,Ильин Матвей Максимович,19-02-1980,Пирогова Агата Ивановна,12-06-1991,06-06-2023,253
23,Кононов Виктор Максимович,29-08-1984,Дементьева Екатерина Никитична,01-12-1980,01-09-2022,4243
24,Пантелеев Максим Алексеевич,02-10-1982,Кузина Полина Ильинична,26-09-1983,07-04-2020,2067
25,Романов Вячеслав Савельевич,01-05-1995,Колесникова Злата Никитична,05-08-1982,24-12-2021,1833
26,Колесов Адам Петрович,29-10-1993,Дементьева Екатерина Лукинична,04-07-1984,13-10-2022,3218
27,Ефремов Дмитрий Всеволодович,02-05-1992,Назарова Вероника Платоновна,10-12-1988,08-04-2018,3150
28,Власов Денис Степанович,27-12-1987,Баранова Дарья Владимировна,01-01-1980,12-06-2022,890
29,Васильев Павел Артёмович,26-03-1997,Кузьмина Айлин Степановна,21-01-1991,29-11-2023,4766
30,Буров Дмитрий Лукич ,03-08-1982,Макарова София Тимофеевна,11-01-1982,18-05-2023,3662
31,Власов Андрей Семёнович,31-07-1981,Борисова Вероника Савельевна,15-07-1997,16-11-2019,2670
32,Кочетков Андрей Леонидович,09-07-1992,Куликова Мелания Платоновна,30-12-1987,15-11-2023,845
33,Родионов Михаил Дмитриевич,11-12-1984,Трофимова Ангелина Матвеевна,30-06-1980,27-05-2020,683
34,Овчинников Владимир Алексеевич,26-03-1999,Богомолова Лидия Вячеславовна,03-07-1984,17-12-2018,2038
35,Константинов Артемий Викторович,18-09-1990,Семенова Анна Кирилловна,04-04-1992,04-08-2023,2042
36,Крючков Алексей Васильевич,03-04-1990,Зайцева Ксения Артемьевна,24-09-1984,13-09-2018,4539
37,Иванов Иван Макарович,10-07-1998,Колесникова Злата Никитична,23-07-1997,21-03-2023,1531
38,Колесов Адам Петрович,14-05-1990,Петровская Ева Егоровна,26-03-1991,31-03-2020,3877
39,Сергеев Марк Алиевич,12-02-1998,Лукина Арина Кирилловна,19-04-1999,05-07-2019,1061
40,Смирнов Матвей Максимович,17-05-1984,Бабушкина Амина Давидовна,01-01-1984,26-03-2020,4795
41,Муратов Вячеслав Дмитриевич,18-04-1996,Львова Дарина Марковна,27-02-1984,19-03-2018,2443
42,Дмитриев Тимофей Михайлович,11-11-1980,Тихомирова Ксения Львовна,14-09-1994,02-05-2022,4076
43,Смирнов Дмитрий Григорьевич,04-12-1986,Кошелева Эмилия Максимовна,09-09-1990,14-08-2022,942
44,Верещагин Даниил Демидович,07-09-1985,Григорьева Ксения Данииловна,04-11-1993,01-02-2023,1387
45,Васильев Егор Тимофеевич,07-01-1996,Петровская Амира Тимофеевна,22-07-1992,08-05-2022,3964
46,Васильев Павел Артёмович,06-09-1999,Иванова Алиса Тихоновна,01-12-1994,06-02-2018,1187
47,Беляков Матвей Егорович,13-09-1997,Козлова Ясмина Михайловна,09-11-1988,16-07-2023,1137
48,Белоусов Фёдор Даниилович,25-09-1992,Пахомова Майя Никитична,04-05-1994,08-05-2021,1972
49,Воробьев Савва Павлович,20-12-1995,Кочеткова Полина Робертовна,11-04-1983,25-10-2022,1567
50,Дубинин Мирон Егорович,18-02-1992,Лебедева Мария Егоровна,10-06-1989,13-03-2020,307
51,Дмитриев Тимофей Михайлович,22-06-1988,Михеева Аделина Елисеевна,09-06-1992,04-09-2020,2529
52,Попов Степан Кириллович,04-03-1995,Куликова Мелания Платоновна,28-03-1985,03-11-2019,4560
53,Калачев Всеволод Леонидович,23-09-1990,Смирнова Варвара Борисовна,14-07-1998,20-08-2020,359
54,Ширяев Кирилл Ильич,04-01-1999,Смирнова Дарья Леонидовна,12-04-1996,15-05-2018,4152
55,Михайлов Артём Андреевич,07-04-1991,Иванова Алиса Тихоновна,12-12-1995,10-08-2020,310
56,Буров Дмитрий Лукич ,12-01-1997,Васильева Полина Михайловна,29-09-1982,20-04-2022,2894
57,Иванов Михаил Сергеевич,27-10-1991,Богомолова Лидия Вячеславовна,08-01-1999,26-05-2019,4442
58,Макаров Тимур Артёмович,21-06-1982,Лаврентьева Таисия Артёмовна,06-10-1992,16-07-2022,1509
59,Жуков Андрей Петрович,22-06-1986,Нечаева Алёна Александровна,27-08-1995,20-12-2020,3110
60,Васильев Давид Тимофеевич,12-06-1980,Латышева Злата Михайловна,01-06-1982,26-04-2021,4266
61,Жуков Андрей Петрович,27-11-1984,Смирнова Екатерина Михайловна,10-01-1997,29-07-2022,2208
62,Елисеев Денис Никитич,12-04-1991,Васильева Анна Сергеевна,26-12-1993,30-06-2022,1445
63,Дубинин Мирон Егорович,30-08-1988,Зайцева Виктория Никитична,22-07-1988,01-12-2021,2618
64,Круглов Роман Максимович,16-12-1996,Добрынина Милана Данииловна,17-06-1996,23-09-2019,2001
65,Князев Марк Вадимович,19-04-1993,Смирнова Дарья Леонидовна,29-09-1986,12-11-2018,839
66,Жуков Андрей Петрович,08-10-1984,Михеева Аделина Елисеевна,14-05-1981,18-11-2021,4939
67,Осипов Дмитрий Платонович,09-11-1989,Лебедева Мария Егоровна,10-05-1986,10-01-2019,2664
68,Федоров Вячеслав Юрьевич,03-04-1989,Климова Александра Артемьевна,06-10-1984,13-06-2018,3562
69,Савельев Роман Михайлович,09-08-1990,Крылова Елизавета Владиславовна,23-06-1991,01-07-2021,2474
70,Корчагин Даниил Борисович,09-12-1999,Назарова Ульяна Арсеновна,25-08-1981,12-03-2021,2720
71,Медведев Александр Платонович,17-08-1997,Головина Анисия Михайловна,28-10-1997,18-06-2023,4986
72,Хромов Кирилл Александрович,24-03-1991,Головина Анисия Михайловна,30-05-1988,05-10-2023,2982
73,Герасимов Давид Петрович,23-12-1980,Кузина Полина Ильинична,27-05-1984,27-11-2019,2161
74,Поликарпов Даниил Петрович,17-04-1999,Хромова Варвара Леоновна,12-12-1988,25-04-2023,18
75,Верещагин Даниил Демидович,30-03-1987,Алексеева Арина Матвеевна,11-06-1993,28-11-2021,3028
76,Корчагин Даниил Борисович,17-02-1987,Колосова Виктория Дмитриевна,20-04-1986,03-06-2021,1375
77,Беляков Матвей Егорович,27-01-1981,Панина Таисия Денисовна,18-05-1985,10-09-2023,4093
78,Муравьев Тимур Андреевич,16-08-1995,Вавилова Маргарита Никитична,25-08-1992,18-01-2018,2812
79,Муратов Вячеслав Дмитриевич,02-11-1987,Алексеева Ульяна Тимофеевна,30-12-1989,02-12-2019,3446
80,Попов Вячеслав Михайлович,19-08-1998,Самойлова Дарина Кирилловна,15-11-1994,01-04-2022,4072
81,Осипов Максим Максимович,01-05-1997,Львова Дарина Марковна,09-07-1983,22-03-2019,318
82,Дубинин Мирон Егорович,14-01-1990,Павлова Агата Савельевна,11-09-1995,31-01-2023,1578
83,Гусев Станислав Викторович,30-01-1984,Смирнова Дарья Леонидовна,28-03-1996,25-04-2018,539
84,Петров Матвей Юрьевич,06-09-1982,Куликова Дарья Георгиевна,16-03-1987,12-03-2019,1065
85,Дегтярев Илья Тимофеевич,01-01-1985,Михеева Аделина Елисеевна,16-10-1986,08-08-2020,2430
86,Муравьев Тимур Андреевич,28-06-1990,Петровская Ева Егоровна,16-10-1982,14-07-2022,2033
87,Титов Артур Артёмович,28-03-1981,Климова Александра Артемьевна,03-01-1996,23-06-2018,3317
88,Мельников Арсений Данилович,07-09-1996,Лаврентьева Таисия Артёмовна,17-03-1983,17-08-2022,3026
89,Давыдов Иван Матвеевич,24-06-1990,Емельянова Арина Артёмовна,08-09-1987,15-04-2019,4035
90,Шестаков Константин Степанович,20-06-1995,Куликова Дарья Георгиевна,23-11-1993,30-04-2020,2812
91,Егоров Максим Даниилович,11-06-1994,Крылова Елизавета Владиславовна,03-03-1990,25-02-2023,3456
92,Ильин Матвей Максимович,29-10-1999,Морозова Ева Данииловна,22-07-1996,05-01-2018,3556
93,Колесов Адам Петрович,01-01-1992,Павловская Вероника Владимировна,22-09-1997,07-04-2019,1900
94,Медведев Александр Платонович,17-10-1982,Николаева Алиса Григорьевна,14-11-1981,22-11-2023,4261
95,Волков Герман Степанович,14-09-1995,Григорьева Алиса Марковна,30-10-1991,08-02-2019,3691
96,Пименов Демид Валерьевич,23-08-1992,Куликова Дарья Георгиевна,05-11-1984,11-03-2021,4922
97,Лебедев Тимур Максимович,31-12-1988,Панина Таисия Денисовна,16-06-1990,28-06-2022,1970
98,Дегтярев Илья Тимофеевич,29-09-1981,Ермакова Анастасия Павловна,04-02-1984,20-01-2018,96
99,Кочетков Андрей Леонидович,19-11-1981,Иванова Алиса Тихоновна,03-06-1983,11-10-2021,1766
100,Егоров Максим Даниилович,15-12-1996,Смирнова Дарья Леонидовна,03-01-1999,17-01-2019,4452
