,Groom fullname,Groom birth date,Bride fullname,Bride birth date,Wedding date,Registry office number
0,Марков Максим Александрович,17-02-1981,Лукина Арина Кирилловна,08-07-1989,08-09-2022,1466
1,Михайлов Артём Андреевич,09-12-1985,Львова Дарина Марковна,16-01-1981,29-11-2021,1142
2,Жуков Андрей Петрович,01-12-1998,Лукина Арина Кирилловна,03-12-1996,20-11-2018,1401
3,Круглов Роман Максимович,03-10-1983,Иванова Анна Григорьевна,07-06-1990,23-01-2020,1269
4,Новиков Андрей Денисович,12-12-1987,Розанова Виктория Кирилловна,07-06-1989,01-10-2022,1164
5,Пименов Демид Валерьевич,17-01-1980,Дубова Ксения Алексеевна,07-06-1999,10-06-2019,47
6,Филатов Лука Андреевич,21-04-1991,Петровская Амира Тимофеевна,21-08-1990,01-06-2021,1341
7,Пименов Демид Валерьевич,15-02-1981,Розанова Виктория Кирилловна,15-12-1986,28-02-2019,205
8,Ефремов Дмитрий Всеволодович,25-06-1988,Вишневская Алисия Андреевна,14-02-1995,14-11-2020,91
9,Кузнецов Михаил Демидович,13-12-1994,Архипова Варвара Макаровна,06-04-1991,13-10-2018,298
10,Макаров Давид Артурович,22-11-1983,Васильева Анна Сергеевна,21-10-1992,11-11-2023,704
11,Кочетков Андрей Леонидович,19-02-1998,Седова София Игоревна,08-01-1988,28-02-2018,48
12,Попов Степан Кириллович,16-06-1994,Кононова Алина Георгиевна,16-04-1996,04-01-2020,1396
13,Петров Матвей Юрьевич,02-12-1983,Вишневская Алисия Андреевна,25-11-1992,07-03-2019,633
14,Овчинников Владимир Алексеевич,29-04-1982,Козлова Ясмина Михайловна,16-06-1998,07-12-2018,1584
15,Воробьев Савва Павлович,19-11-1983,Климова Александра Артемьевна,07-02-1993,26-06-2019,1473
16,Егоров Максим Даниилович,26-02-1993,Князева Валерия Ивановна,21-09-1989,15-06-2023,278
17,Власов Денис Степанович,19-02-1981,Кудряшова Полина Алиевна,02-09-1985,21-09-2020,1043
18,Смирнов Лев Михайлович,22-02-1982,Князева Валерия Ивановна,01-02-1999,20-07-2018,911
19,Петров Матвей Юрьевич,04-04-1998,Петровская Ева Егоровна,22-11-1988,05-03-2023,1220
20,Симонов Савва Дмитриевич,27-11-1988,Павловская Вероника Владимировна,20-10-1993,31-12-2019,521
21,Иванов Даниил Сергеевич,31-03-1991,Кононова Алина Георгиевна,25-03-1983,18-08-2023,1929
22,Иванов Михаил Сергеевич,11-10-1980,Рябова Елизавета Владимировна,02-08-1983,04-09-2022,531
23,Марков Максим Александрович,01-08-1992,Богомолова Лидия Вячеславовна,15-01-1999,15-02-2018,901
24,Дмитриев Тимофей Михайлович,26-01-1992,Лаврентьева Таисия Артёмовна,10-02-1997,24-06-2020,40
25,Суворов Матвей Богданович,31-07-1996,Петровская Амира Тимофеевна,04-02-1986,04-10-2019,815
26,Левин Артемий Степанович,20-05-1989,Старостина Ульяна Даниэльевна,21-03-1983,17-09-2019,1934
27,Осипов Дмитрий Платонович,10-02-1984,Богомолова Лидия Вячеславовна,05-09-1996,07-03-2018,1168
28,Крючков Алексей Васильевич,11-06-1993,Емельянова Арина Артёмовна,25-05-1985,31-10-2021,751
29,Винокуров Кирилл Алиевич,03-04-1996,Ильина Вероника Олеговна,04-12-1989,12-01-2021,418
30,Егоров Максим Даниилович,17-01-1981,Медведева София Ильинична,14-08-1982,30-10-2021,1097
31,Савельев Роман Михайлович,27-03-1989,Петровская Ева Егоровна,09-07-1996,02-02-2023,587
32,Муравьев Тимур Андреевич,16-07-1995,Самсонова Виктория Степановна,31-07-1997,09-01-2020,1237
33,Васильев Павел Артёмович,08-03-1984,Добрынина Милана Данииловна,08-07-1994,09-09-2020,34
34,Попов Степан Кириллович,02-10-1982,Седова София Игоревна,14-08-1999,18-11-2019,369
35,Савельев Роман Михайлович,14-06-1982,Семенова Анна Кирилловна,13-08-1980,23-10-2022,365
36,Марков Максим Александрович,16-05-1988,Вавилова Маргарита Никитична,18-12-1991,24-12-2021,1730
37,Дмитриев Тимофей Михайлович,22-03-1991,Васильева Анна Сергеевна,26-04-1993,16-07-2018,936
38,Волков Герман Степанович,11-08-1994,Ильина Вероника Олеговна,02-06-1980,04-10-2023,1034
39,Васильев Давид Тимофеевич,02-10-1991,Смирнова Екатерина Михайловна,05-08-1989,21-03-2022,935
40,Сорокин Артём Даниилович,06-10-1984,Смирнова Екатерина Михайловна,16-08-1983,13-06-2019,904
41,Егоров Максим Даниилович,08-08-1994,Зайцева Ксения Артемьевна,02-06-1989,28-03-2023,1278
42,Смирнов Дмитрий Григорьевич,12-09-1991,Григорьева Ксения Данииловна,26-01-1988,29-01-2023,976
43,Новиков Даниил Матвеевич,25-11-1981,Иванова Анна Григорьевна,16-04-1980,21-02-2019,1256
44,Власов Денис Степанович,05-10-1980,Алексеева Ульяна Тимофеевна,22-10-1987,18-06-2021,1066
45,Молчанов Иван Максимович,18-02-1991,Казакова Арина Александровна,31-01-1994,05-08-2020,530
46,Белов Евгений Артёмович,09-01-1991,Михайлова София Алексеевна,27-02-1999,20-09-2020,814
47,Данилов Владимир Егорович,07-09-1995,Седова София Игоревна,24-12-1988,07-01-2021,551
48,Петров Матвей Юрьевич,02-06-1986,Самойлова Дарина Кирилловна,31-03-1982,21-04-2020,153
49,Федоров Вячеслав Юрьевич,28-02-1988,Львова Дарина Марковна,06-10-1999,16-05-2023,1779
50,Смирнов Матвей Максимович,14-01-1996,Вишневская Алисия Андреевна,01-05-1981,25-10-2019,1009
51,Дмитриев Тимофей Михайлович,08-07-1987,Борисова София Фёдоровна,29-10-1983,28-04-2022,418
52,Булгаков Иван Владимирович,27-05-1997,Маркова Мария Леоновна,08-11-1998,05-09-2023,754
53,Фомин Лев Александрович,22-07-1987,Нечаева Алёна Александровна,26-07-1992,18-09-2020,1258
54,Новиков Виктор Маркович,25-10-1996,Степанова Екатерина Владимировна,02-02-1992,27-03-2023,302
55,Иванов Даниил Сергеевич,05-11-1996,Вавилова Маргарита Никитична,14-10-1990,27-01-2023,1369
56,Давыдов Иван Матвеевич,18-06-1989,Павлова Александра Ярославовна,05-11-1985,09-04-2018,1115
57,Савельев Роман Михайлович,09-12-1997,Смирнова Стефания Всеволодовна,11-06-1987,27-04-2019,1934
58,Родионов Михаил Дмитриевич,16-03-1994,Розанова Виктория Кирилловна,09-04-1981,08-03-2023,1382
59,Колесов Адам Петрович,13-12-1980,Архипова Варвара Макаровна,26-07-1983,04-07-2019,895
60,Белоусов Фёдор Даниилович,24-07-1997,Суворова Стефания Артёмовна,30-05-1991,27-09-2022,1299
61,Винокуров Кирилл Алиевич,24-11-1993,Смирнова Дарья Леонидовна,07-07-1988,20-04-2022,859
62,Ефремов Дмитрий Всеволодович,28-04-1997,Кудряшова Полина Алиевна,21-04-1993,30-06-2019,265
63,Власов Андрей Семёнович,22-07-1991,Смирнова Стефания Всеволодовна,08-06-1993,19-02-2020,1705
64,Федоров Вячеслав Юрьевич,29-11-1982,Ермакова Анастасия Павловна,10-04-1992,08-02-2022,1567
65,Воронин Савелий Иванович,17-11-1982,Васильева Полина Михайловна,14-12-1988,02-01-2021,16
66,Королев Владимир Даниилович,09-03-1988,Лебедева Мария Егоровна,17-04-1989,18-05-2023,1981
67,Князев Марк Вадимович,06-09-1989,Старостина Ульяна Даниэльевна,13-01-1992,05-05-2023,354
68,Воробьев Савва Павлович,03-07-1988,Петровская Ева Егоровна,04-06-1997,11-02-2021,791
69,Михайлов Артём Андреевич,04-01-1981,Пирогова Агата Ивановна,02-01-1991,29-10-2018,465
70,Попов Вячеслав Михайлович,10-12-1986,Николаева Алиса Григорьевна,20-04-1984,07-05-2023,1212
71,Васильев Павел Артёмович,09-05-1984,Ермакова Анастасия Павловна,03-10-1996,18-08-2020,701
72,Винокуров Кирилл Алиевич,19-10-1988,Кононова Алина Георгиевна,23-06-1997,09-10-2020,1089
73,Смирнов Матвей Максимович,16-03-1984,Кононова Алина Георгиевна,20-09-1991,02-11-2023,410
