,Groom fullname,Groom birth date,Bride fullname,Bride birth date,Wedding date,Registry office number
0,Иванов Владимир Владиславович,23-09-1999,Дубова Ксения Алексеевна,06-09-1984,12-12-2021,62
1,Новиков Виктор Маркович,06-08-1990,Петрова Аделина Данииловна,27-09-1986,26-05-2021,71
2,Корнилов Олег Вадимович,21-02-1999,Куликова Мелания Платоновна,26-11-1985,06-11-2022,254
3,Смирнов Дамир Даниилович,13-12-1997,Князева Валерия Ивановна,11-03-1981,17-09-2019,357
4,Яковлев Даниил Георгиевич,10-01-1986,Смирнова Екатерина Михайловна,18-05-1984,30-07-2021,196
5,Гусев Богдан Александрович,30-12-1997,Старостина Ульяна Даниэльевна,08-09-1992,28-11-2019,213
6,Винокуров Степан Николаевич,05-08-1981,Суворова Стефания Артёмовна,16-08-1981,06-10-2022,424
7,Мельников Арсений Данилович,08-03-1997,Нечаева Алёна Александровна,07-08-1993,28-05-2018,412
8,Корнилов Олег Вадимович,29-01-1999,Алексеева Ульяна Тимофеевна,28-08-1991,17-02-2018,128
9,Левин Артемий Степанович,20-09-1995,Андреева Варвара Арсентьевна,28-10-1998,05-02-2019,485
10,Сорокин Артём Даниилович,30-08-1981,Вавилова Маргарита Никитична,15-09-1987,09-12-2022,212
11,Федоров Вячеслав Юрьевич,12-06-1999,Смирнова Стефания Всеволодовна,22-09-1990,17-10-2018,30
12,Иванов Даниил Сергеевич,13-03-1990,Добрынина Милана Данииловна,20-02-1998,11-03-2023,147
13,Верещагин Даниил Демидович,22-10-1994,Смирнова Ясмина Ивановна,28-04-1980,22-06-2019,279
14,Титов Артур Артёмович,18-05-1991,Самойлова Дарина Кирилловна,16-03-1997,04-01-2018,88
15,Васильев Егор Тимофеевич,01-02-1992,Лебедева Мария Егоровна,25-03-1989,26-08-2022,240
16,Иванов Иван Макарович,04-07-1988,Ильина Вероника Олеговна,06-06-1989,05-03-2018,435
17,Воронин Савелий Иванович,15-11-1987,Макарова София Тимофеевна,28-12-1980,17-07-2021,257
18,Жуков Андрей Петрович,11-08-1982,Пахомова Майя Никитична,15-07-1993,15-10-2023,453
19,Сорокин Артём Даниилович,04-01-1996,Михеева Аделина Елисеевна,28-01-1981,09-11-2020,481
20,Круглов Роман Максимович,21-11-1985,Кузьмина Айлин Степановна,11-08-1982,02-05-2020,318
21,Новиков Андрей Денисович,11-01-1991,Зайцева Вероника Саввична,29-01-1983,27-04-2020,215
22,Попов Вячеслав Михайлович,03-01-1989,Медведева София Ильинична,13-07-1985,10-12-2022,412
23,Попов Вячеслав Михайлович,16-06-1994,Алексеева Ульяна Тимофеевна,20-04-1983,11-12-2021,293
24,Поликарпов Даниил Петрович,25-12-1980,Назарова Вероника Платоновна,22-06-1985,18-09-2022,198
25,Кочетков Андрей Леонидович,19-06-1988,Маркова Мария Леоновна,03-10-1996,12-11-2020,187
26,Дубинин Мирон Егорович,29-05-1989,Назарова Алина Михайловна,02-06-1985,12-04-2020,194
27,Лебедев Тимур Максимович,11-08-1982,Дементьева Екатерина Лукинична,04-03-1991,29-05-2020,400
28,Миронов Фёдор Григорьевич,04-09-1993,Смирнова Ясмина Ивановна,03-04-1984,30-10-2018,153
29,Мельников Арсений Данилович,23-03-1989,Ильина Вероника Олеговна,22-10-1997,18-02-2021,224
