,Groom fullname,Groom birth date,Bride fullname,Bride birth date,Wedding date,Registry office number
0,Белоусов Фёдор Даниилович,02-11-1984,Колесникова Злата Никитична,24-07-1993,04-12-2021,1006
1,Левин Артемий Степанович,27-02-1992,Рябова Елизавета Владимировна,30-04-1987,10-12-2021,9085
2,Буров Дмитрий Лукич ,18-07-1988,Емельянова Арина Артёмовна,16-12-1981,31-07-2021,9154
3,Гусев Богдан Александрович,09-10-1983,Тихомирова Ксения Львовна,05-10-1994,13-12-2019,7766
4,Иванов Михаил Сергеевич,27-12-1993,Михайлова София Алексеевна,07-10-1987,17-09-2020,6606
5,Воронин Савелий Иванович,02-06-1999,Петрова Юлия Никитична,26-12-1985,28-03-2023,5751
6,Волков Герман Степанович,07-11-1999,Вавилова Маргарита Никитична,08-09-1985,14-09-2019,2904
7,Новиков Андрей Денисович,06-01-1994,Антипова София Игоревна,30-11-1993,16-04-2021,9487
8,Суворов Матвей Богданович,16-09-1990,Пирогова Агата Ивановна,16-09-1988,02-08-2021,853
9,Васильев Павел Артёмович,07-11-1996,Князева Валерия Ивановна,18-03-1992,08-10-2021,7298
10,Ефремов Дмитрий Всеволодович,21-01-1999,Вавилова Маргарита Никитична,19-05-1995,22-09-2023,2646
11,Смирнов Лев Михайлович,24-11-1989,Назарова Алина Михайловна,20-03-1985,03-07-2021,4280
12,Волков Герман Степанович,29-09-1993,Вишневская Алисия Андреевна,26-11-1981,04-02-2021,8311
13,Марков Максим Александрович,26-03-1986,Степанова Екатерина Владимировна,23-05-1989,31-12-2023,1721
14,Казанцев Марк Назарович,18-09-1995,Трофимова Ангелина Матвеевна,05-11-1983,01-03-2023,2793
15,Князев Марк Вадимович,21-07-1991,Самсонова Виктория Степановна,11-12-1998,14-01-2019,7052
16,Титов Артур Артёмович,29-08-1995,Козлова Ясмина Михайловна,27-12-1983,28-01-2023,6969
17,Титов Артур Артёмович,21-09-1982,Латышева Злата Михайловна,24-07-1989,20-08-2019,1874
18,Винокуров Степан Николаевич,11-08-1982,Петрова Юлия Никитична,27-05-1998,24-01-2022,2043
19,Яковлев Даниил Георгиевич,14-09-1984,Богомолова Лидия Вячеславовна,20-07-1986,05-07-2023,3109
